type_name	display_name	exercise_id	metadata_summary	metadata_json
LISTEN_DIALOGUE_QA	听力，对话问答	005eb609-83ce-4f6a-b046-0e77298ec8b2	"{""keys"": [""correct_label"", ""listening_text"", ""options"", ""question"", ""question_pinyin"", ""seed""], ""options"": {""item_type"": ""object"", ""item_keys"": [""label"", ""pinyin"", ""text""]}}"	"{""seed"": null, ""options"": [{""text"": ""30度"", ""label"": ""A"", ""pinyin"": ""30 dù""}, {""text"": ""35度"", ""label"": ""B"", ""pinyin"": ""35 dù""}, {""text"": ""40度"", ""label"": ""C"", ""pinyin"": ""40 dù""}], ""question"": ""对话中提到的气温是多少度？"", ""correct_label"": ""B"", ""listening_text"": ""A说：今天天气很热，有35度呢。  \nB说：是啊，我们去游泳吧。"", ""question_pinyin"": ""duì huà zhōng tí dào de qì wēn shì duō shǎo dù ？""}"
LISTEN_DIALOGUE_QA	听力，对话问答	020d93b5-c234-4e2d-97a9-c824f8959f4b	"{""keys"": [""correct_label"", ""listening_text"", ""options"", ""question"", ""question_pinyin"", ""seed""], ""options"": {""item_type"": ""object"", ""item_keys"": [""label"", ""pinyin"", ""text""]}}"	"{""seed"": null, ""options"": [{""text"": ""在抽屉里"", ""label"": ""A"", ""pinyin"": ""zài chōu tì lǐ""}, {""text"": ""在书包里"", ""label"": ""B"", ""pinyin"": ""zài shū bāo lǐ""}, {""text"": ""在课桌上"", ""label"": ""C"", ""pinyin"": ""zài kè zhuō shàng""}], ""question"": ""小红的本子在哪里？"", ""correct_label"": ""C"", ""listening_text"": ""小明说：我的本子在书包里，你的本子在哪里？  \n小红说：我的本子在课桌上。"", ""question_pinyin"": ""xiǎo hóng de běn zi zài nǎ lǐ ？""}"
LISTEN_IMAGE_MATCH	听录音，看图配对	00acc33d-fe04-4d2b-9f52-775216a9d40f	"{""keys"": [""keywords"", ""seed""]}"	"{""seed"": null, ""keywords"": [""音乐"", ""吉他"", ""耳机""]}"
LISTEN_IMAGE_MATCH	听录音，看图配对	00c190af-1b15-40ca-9520-2f1b00de7876	"{""keys"": [""correct_image_index"", ""listening_text""]}"	"{""listening_text"": ""天上有很多星星。"", ""correct_image_index"": 2}"
LISTEN_IMAGE_MC	听录音，看图选择	01b3e4b4-5344-4e20-9fb7-c2d32787807e	"{""keys"": [""correct_answer"", ""listening_text"", ""options""], ""options"": {""item_type"": ""object"", ""item_keys"": [""image_asset_id"", ""keyword"", ""label""]}}"	"{""options"": [{""label"": ""A"", ""keyword"": ""网址"", ""image_asset_id"": ""faa6601c-31a7-40f0-89e5-79db01092a64""}, {""label"": ""B"", ""keyword"": ""网站"", ""image_asset_id"": ""f7fd8991-4a78-4ffd-94e9-14674ddb12b4""}, {""label"": ""C"", ""keyword"": ""网页"", ""image_asset_id"": ""7179f6ba-12d5-46a5-978c-452aad4a76c8""}], ""correct_answer"": ""B"", ""listening_text"": ""我在网站上看照片。""}"
LISTEN_IMAGE_MC	听录音，看图选择	01f14639-4579-4746-a1b0-a89174a23ab6	"{""keys"": [""correct_answer"", ""listening_text"", ""options""], ""options"": {""item_type"": ""object"", ""item_keys"": [""image_asset_id"", ""keyword"", ""label""]}}"	"{""options"": [{""label"": ""A"", ""keyword"": ""客厅"", ""image_asset_id"": ""d24c887e-6143-4764-96e2-c6c306b7783d""}, {""label"": ""B"", ""keyword"": ""卧室"", ""image_asset_id"": ""4a076c41-0b8b-4867-8ec4-9fede265b451""}, {""label"": ""C"", ""keyword"": ""房间"", ""image_asset_id"": ""e1f1d772-ccdd-47d3-98fb-609e751799b9""}], ""correct_answer"": ""C"", ""listening_text"": ""房间里有一张床和一把椅子。""}"
LISTEN_IMAGE_TRUE_FALSE	听录音，看图判断	0001a4e7-62b2-4a39-8b13-0b30534f2ca7	"{""keys"": [""correct_answer"", ""listening_text""]}"	"{""correct_answer"": false, ""listening_text"": ""小明看到自己的考试成绩后，开心地笑了。""}"
LISTEN_IMAGE_TRUE_FALSE	听录音，看图判断	017d2dfe-70f2-40b3-a28a-c9c293bffa6b	"{""keys"": [""correct_answer"", ""listening_text""]}"	"{""correct_answer"": false, ""listening_text"": ""一位西医在医院给病人看病。""}"
LISTEN_PARAGRAPH_QA	听力，段落问答	01dd3a7b-57d0-4b94-aff3-23555c9cc61e	"{""keys"": [""correct_label"", ""listening_text"", ""options"", ""question"", ""question_pinyin"", ""seed""], ""options"": {""item_type"": ""object"", ""item_keys"": [""label"", ""pinyin"", ""text""]}}"	"{""seed"": null, ""options"": [{""text"": ""操场"", ""label"": ""A"", ""pinyin"": ""cāo chǎng""}, {""text"": ""图书馆"", ""label"": ""B"", ""pinyin"": ""tú shū guǎn""}, {""text"": ""教室"", ""label"": ""C"", ""pinyin"": ""jiào shì""}], ""question"": ""小明在什么地方把本子还给小美？"", ""correct_label"": ""B"", ""listening_text"": ""小美在图书馆看书，她的本子掉在了地上。小明看见了，把本子捡起来还给她。这个本子是红色的，上面有一只小猫。小美说：“谢谢，这是我最喜欢的本子。”"", ""question_pinyin"": ""xiǎo míng zài shén me dì fāng bǎ běn zi huán gěi xiǎo měi ？""}"
LISTEN_PARAGRAPH_QA	听力，段落问答	029ece37-fd31-46e7-b843-6e8a9556ba15	"{""keys"": [""correct_label"", ""listening_text"", ""options"", ""question"", ""question_pinyin"", ""seed""], ""options"": {""item_type"": ""object"", ""item_keys"": [""label"", ""pinyin"", ""text""]}}"	"{""seed"": null, ""options"": [{""text"": ""喝了茶，聊了半小时"", ""label"": ""A"", ""pinyin"": ""hē le chá ， liáo le bàn xiǎo shí""}, {""text"": ""坐公交车去了小李家"", ""label"": ""B"", ""pinyin"": ""zuò gōng jiāo chē qù le xiǎo lǐ jiā""}, {""text"": ""打了两个电话提醒客人"", ""label"": ""C"", ""pinyin"": ""dǎ le liǎng gè diàn huà tí xǐng kè rén""}], ""question"": ""小李和客人一起做了什么？"", ""correct_label"": ""A"", ""listening_text"": ""今天下午三点，小李在家等客人。客人说要坐公交车来，但是走错了路。小李打了两个电话提醒他，最后客人才找到家门。他们一起喝了茶，聊了半小时。"", ""question_pinyin"": ""xiǎo lǐ hé kè rén yì qǐ zuò le shén me ？""}"
